ti,   y,   u
47912.000000,   32.226562,   49.777832
48012.000000,   31.355896,   49.785461
48112.000000,   31.371002,   49.785461
48211.000000,   32.072754,   49.785461
48341.000000,   32.194977,   49.770203
48412.000000,   31.432800,   49.782410
48511.000000,   32.012329,   49.790039
48612.000000,   31.325684,   49.782410
48713.000000,   31.798096,   49.790039
48837.000000,   32.226562,   49.790039
48912.000000,   32.194977,   49.782410
49012.000000,   31.355896,   49.782410
49112.000000,   31.890106,   49.785461
49213.000000,   32.134552,   49.777832
49312.000000,   31.875000,   49.785461
49412.000000,   31.967010,   49.774780
49511.000000,   31.310577,   49.777832
49645.000000,   31.325684,   49.774780
49711.000000,   32.256775,   49.785461
49812.000000,   32.072754,   49.777832
49924.000000,   32.057648,   49.782410
50037.000000,   32.591858,   49.782410
50113.000000,   32.638550,   49.790039
50211.000000,   31.814575,   49.777832
50312.000000,   32.164764,   49.777832
50431.000000,   31.767883,   49.782410
50512.000000,   31.630554,   49.777832
50612.000000,   31.935425,   49.770203
50713.000000,   32.363892,   49.785461
50812.000000,   32.759399,   49.785461
50913.000000,   32.286987,   49.785461
51012.000000,   32.775879,   49.782410
51121.000000,   31.982117,   49.790039
51205.000000,   32.516327,   49.777832
51312.000000,   31.982117,   49.782410
51411.000000,   32.928314,   49.790039
51512.000000,   32.363892,   49.777832
51631.000000,   32.226562,   49.785461
51712.000000,   32.332306,   49.790039
51812.000000,   32.469635,   49.785461
51911.000000,   32.806091,   49.767151
52018.000000,   32.149658,   49.785461
52131.000000,   32.286987,   49.782410
52212.000000,   32.286987,   49.777832
52312.000000,   33.018951,   49.785461
52441.000000,   32.622070,   49.790039
52512.000000,   32.516327,   49.770203
52611.000000,   32.409210,   49.782410
52713.000000,   32.363892,   49.782410
52812.000000,   32.943420,   49.785461
52912.000000,   33.187866,   49.790039
53011.000000,   32.439423,   49.782410
53113.000000,   32.484741,   49.793091
53220.000000,   33.278503,   49.790039
53335.000000,   32.790985,   49.785461
53413.000000,   32.973633,   49.774780
53511.000000,   33.325195,   49.790039
53606.000000,   33.645172,   49.777832
53728.000000,   33.278503,   49.785461
53812.000000,   32.653656,   49.774780
53912.000000,   33.538055,   49.770203
54028.000000,   33.507843,   49.790039
54111.000000,   33.522949,   49.782410
