File_Record_0005.rec ( 40391 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 4:08:55 PM Fmax 0.7 Hz
t	y	u	
4600.000000	2.5162e+001	-1.5130e-002	
4610.000000	2.5009e+001	-2.2695e-002	
4620.000000	2.5452e+001	-1.5130e-002	
4630.000000	2.4963e+001	-2.6478e-002	
4640.000000	2.5543e+001	-1.1348e-002	
4650.000000	2.5269e+001	-2.2695e-002	
4660.000000	2.5375e+001	-7.5652e-003	
4670.000000	2.5269e+001	-1.5130e-002	
4680.000000	2.5925e+001	-7.5652e-003	
4690.000000	2.5345e+001	-7.5652e-003	
4700.000000	2.5543e+001	-2.2695e-002	
4710.000000	2.5665e+001	-1.5130e-002	
4720.000000	2.5894e+001	-2.6478e-002	
4730.000000	2.5375e+001	-1.5130e-002	
4740.000000	2.5604e+001	-1.5130e-002	
4750.000000	2.5940e+001	-1.8913e-002	
4760.000000	2.5543e+001	-1.5130e-002	
4770.000000	2.5681e+001	-1.8913e-002	
4780.000000	2.5360e+001	-1.8913e-002	
4790.000000	2.5787e+001	-1.1348e-002	
4800.000000	2.5452e+001	-1.5130e-002	
4810.000000	2.5696e+001	-1.8913e-002	
4820.000000	2.5101e+001	-1.8913e-002	
4830.000000	2.5635e+001	-1.1348e-002	
4840.000000	2.5223e+001	-1.5130e-002	
4850.000000	2.5269e+001	-1.8913e-002	
4860.000000	2.5116e+001	-1.1348e-002	
4870.000000	2.5482e+001	-1.8913e-002	
4880.000000	2.4902e+001	-1.8913e-002	
4890.000000	2.5208e+001	-2.2695e-002	
4900.000000	2.5330e+001	-1.5130e-002	
4910.000000	2.5024e+001	-2.2695e-002	
4920.000000	2.4979e+001	-2.2695e-002	
4930.000000	2.5116e+001	-2.2695e-002	
4940.000000	2.5391e+001	-7.5652e-003	
4950.000000	2.4765e+001	-1.8913e-002	
4960.000000	2.5345e+001	-2.2695e-002	
4970.000000	2.5391e+001	-1.1348e-002	
4980.000000	2.5543e+001	-1.1348e-002	
4990.000000	2.5085e+001	-1.1348e-002	
5000.000000	2.5528e+001	-1.1348e-002	
5010.000000	2.5360e+001	-1.5130e-002	
5020.000000	2.5864e+001	-1.8913e-002	
5030.000000	2.5436e+001	-1.5130e-002	
5040.000000	2.5650e+001	-1.8913e-002	
5050.000000	2.5574e+001	-1.8913e-002	
5060.000000	2.5757e+001	-2.2695e-002	
5070.000000	2.5528e+001	-1.1348e-002	
5080.000000	2.5681e+001	-1.1348e-002	
5090.000000	2.5894e+001	-1.1348e-002	
5100.000000	2.5330e+001	-1.5130e-002	
5110.000000	2.5711e+001	-1.8913e-002	
5120.000000	2.6810e+001	3.4463e+001	
5130.000000	2.5436e+001	4.9574e+001	
5140.000000	2.5452e+001	4.9397e+001	
5150.000000	2.5787e+001	4.9393e+001	
5160.000000	2.5665e+001	4.9412e+001	
5170.000000	2.5757e+001	4.9431e+001	
5180.000000	2.5665e+001	4.9446e+001	
5190.000000	2.5864e+001	4.9476e+001	
5200.000000	2.5299e+001	4.9484e+001	
5210.000000	2.5986e+001	4.9495e+001	
5220.000000	2.5467e+001	4.9506e+001	
5230.000000	2.5757e+001	4.9514e+001	
5240.000000	2.5391e+001	4.9518e+001	
5250.000000	2.5864e+001	4.9514e+001	
