File_Record_0001.rec ( 60606 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 2:21:29 PM Fmax 1 Hz
t	y	u	
5170.000000	2.3987e+001	-1.3462e-002	
5180.000000	2.3969e+001	-1.9231e-002	
5190.000000	2.2995e+001	-2.1154e-002	
5200.000000	2.3129e+001	-1.5385e-002	
5210.000000	2.3792e+001	-1.1538e-002	
5220.000000	2.3605e+001	-9.6154e-003	
5230.000000	2.3642e+001	-5.7692e-003	
5240.000000	2.3044e+001	-3.8462e-003	
5250.000000	2.3181e+001	-7.6923e-003	
5260.000000	2.3093e+001	-1.7308e-002	
5270.000000	2.3688e+001	-1.7308e-002	
5280.000000	2.3862e+001	-1.1538e-002	
5290.000000	2.3712e+001	-9.6154e-003	
5300.000000	2.3502e+001	-1.1538e-002	
5310.000000	2.3071e+001	-5.7692e-003	
5320.000000	2.3410e+001	-9.6154e-003	
5330.000000	2.3959e+001	-9.6154e-003	
5340.000000	2.3660e+001	-1.1538e-002	
5350.000000	2.3511e+001	-1.7308e-002	
5360.000000	2.3837e+001	-7.6923e-003	
5370.000000	2.3053e+001	-1.5385e-002	
5380.000000	2.3108e+001	-9.6154e-003	
5390.000000	2.4200e+001	-1.1538e-002	
5400.000000	2.3883e+001	-7.6923e-003	
5410.000000	2.3163e+001	-9.6154e-003	
5420.000000	2.3596e+001	-9.6154e-003	
5430.000000	2.3444e+001	-1.5385e-002	
5440.000000	2.3428e+001	-1.1538e-002	
5450.000000	2.3862e+001	-9.6154e-003	
5460.000000	2.3819e+001	-1.1538e-002	
5470.000000	2.3462e+001	-7.6923e-003	
5480.000000	2.3599e+001	-1.1538e-002	
5490.000000	2.3303e+001	-7.6923e-003	
5500.000000	2.3401e+001	-1.3462e-002	
5510.000000	2.4118e+001	-1.3462e-002	
5520.000000	2.3904e+001	-1.1538e-002	
5530.000000	2.3129e+001	-1.1538e-002	
5540.000000	2.3639e+001	-1.1538e-002	
5550.000000	2.3703e+001	-1.1538e-002	
5560.000000	2.3303e+001	-9.6154e-003	
5570.000000	2.3856e+001	-7.6923e-003	
5580.000000	2.4246e+001	-1.3462e-002	
5590.000000	2.3169e+001	-9.6154e-003	
5600.000000	2.3288e+001	-1.1538e-002	
5610.000000	2.3599e+001	-9.6154e-003	
5620.000000	2.3544e+001	-1.3462e-002	
5630.000000	2.3846e+001	-1.3462e-002	
5640.000000	2.4039e+001	-1.3462e-002	
5650.000000	2.3456e+001	-1.1538e-002	
5660.000000	2.3270e+001	-7.6923e-003	
5670.000000	2.3474e+001	-1.1538e-002	
5680.000000	2.3648e+001	-1.1538e-002	
5690.000000	2.3926e+001	-9.6154e-003	
5700.000000	2.3969e+001	-1.3462e-002	
5710.000000	2.3151e+001	-1.3462e-002	
5720.000000	2.3209e+001	-7.6923e-003	
5730.000000	2.3914e+001	-1.3462e-002	
5740.000000	2.3697e+001	-7.6923e-003	
5750.000000	2.3553e+001	-9.6154e-003	
5760.000000	2.3962e+001	-1.1538e-002	
5770.000000	2.3285e+001	-1.1538e-002	
5780.000000	2.3090e+001	-1.1538e-002	
5790.000000	2.3923e+001	-1.3462e-002	
5800.000000	2.4289e+001	2.4912e+001	
